Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
FAY99780_pass_barcode08_98e12ebb_5ad7f319_139	(17.0, 1.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 4.0)	(23.0, 3.0)	(24.0, 4.0)	(25.0, 3.0)	(26.0, 3.0)	(27.0, 4.0)	(28.0, 7.0)	(29.0, 8.0)	(30.0, 14.0)	(31.0, 11.0)	(32.0, 10.0)	(33.0, 2.0)	(34.0, 3.0)	(35.0, 3.0)																
FAY99780_pass_barcode08_98e12ebb_5ad7f319_14	(15.0, 3.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 4.0)	(20.0, 8.0)	(21.0, 8.0)	(22.0, 8.0)	(23.0, 15.0)	(24.0, 10.0)	(25.0, 14.0)	(26.0, 12.0)	(27.0, 15.0)	(28.0, 20.0)	(29.0, 21.0)	(30.0, 20.0)	(31.0, 32.0)	(32.0, 42.0)	(33.0, 27.0)	(34.0, 7.0)	(35.0, 5.0)	(36.0, 3.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_140	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 3.0)	(22.0, 2.0)	(23.0, 4.0)	(24.0, 5.0)	(25.0, 8.0)	(26.0, 5.0)	(27.0, 11.0)	(28.0, 4.0)	(29.0, 13.0)	(30.0, 7.0)	(31.0, 5.0)	(32.0, 7.0)	(33.0, 8.0)	(34.0, 11.0)	(35.0, 1.0)														
FAY99780_pass_barcode08_98e12ebb_5ad7f319_141	(14.0, 2.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 5.0)	(25.0, 8.0)	(26.0, 2.0)	(27.0, 4.0)	(28.0, 2.0)	(29.0, 8.0)	(30.0, 6.0)	(31.0, 5.0)	(32.0, 9.0)	(33.0, 5.0)	(34.0, 3.0)	(35.0, 0.0)	(36.0, 1.0)	(37.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_142	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 0.0)	(20.0, 4.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 4.0)	(24.0, 5.0)	(25.0, 0.0)	(26.0, 4.0)	(27.0, 2.0)	(28.0, 9.0)	(29.0, 9.0)	(30.0, 9.0)	(31.0, 6.0)	(32.0, 6.0)	(33.0, 4.0)	(34.0, 1.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_143	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 2.0)	(23.0, 2.0)	(24.0, 2.0)	(25.0, 4.0)	(26.0, 4.0)	(27.0, 6.0)	(28.0, 6.0)	(29.0, 10.0)	(30.0, 10.0)	(31.0, 13.0)	(32.0, 8.0)	(33.0, 5.0)	(34.0, 3.0)	(35.0, 3.0)	(36.0, 0.0)	(37.0, 1.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_144	(16.0, 1.0)	(17.0, 2.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 5.0)	(21.0, 5.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 2.0)	(25.0, 6.0)	(26.0, 2.0)	(27.0, 4.0)	(28.0, 9.0)	(29.0, 13.0)	(30.0, 10.0)	(31.0, 12.0)	(32.0, 6.0)	(33.0, 15.0)	(34.0, 4.0)	(35.0, 1.0)	(36.0, 0.0)	(37.0, 1.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_145	(15.0, 1.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 6.0)	(20.0, 4.0)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 2.0)	(24.0, 2.0)	(25.0, 3.0)	(26.0, 2.0)	(27.0, 5.0)	(28.0, 9.0)	(29.0, 13.0)	(30.0, 7.0)	(31.0, 7.0)	(32.0, 9.0)	(33.0, 6.0)	(34.0, 1.0)	(35.0, 2.0)	(36.0, 2.0)	(37.0, 2.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_146	(18.0, 1.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 2.0)	(25.0, 3.0)	(26.0, 7.0)	(27.0, 6.0)	(28.0, 8.0)	(29.0, 7.0)	(30.0, 12.0)	(31.0, 5.0)	(32.0, 7.0)	(33.0, 12.0)	(34.0, 2.0)	(35.0, 0.0)	(36.0, 1.0)	(37.0, 1.0)															
FAY99780_pass_barcode08_98e12ebb_5ad7f319_147	(15.0, 3.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 5.0)	(21.0, 3.0)	(22.0, 1.0)	(23.0, 5.0)	(24.0, 4.0)	(25.0, 5.0)	(26.0, 3.0)	(27.0, 8.0)	(28.0, 8.0)	(29.0, 9.0)	(30.0, 10.0)	(31.0, 7.0)	(32.0, 11.0)	(33.0, 5.0)	(34.0, 1.0)	(35.0, 2.0)	(36.0, 1.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_148	(17.0, 1.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 4.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 5.0)	(24.0, 4.0)	(25.0, 6.0)	(26.0, 1.0)	(27.0, 6.0)	(28.0, 10.0)	(29.0, 7.0)	(30.0, 7.0)	(31.0, 13.0)	(32.0, 7.0)	(33.0, 6.0)	(34.0, 3.0)	(35.0, 1.0)																
FAY99780_pass_barcode08_98e12ebb_5ad7f319_149	(18.0, 3.0)	(19.0, 3.0)	(20.0, 4.0)	(21.0, 3.0)	(22.0, 6.0)	(23.0, 4.0)	(24.0, 3.0)	(25.0, 4.0)	(26.0, 3.0)	(27.0, 6.0)	(28.0, 8.0)	(29.0, 10.0)	(30.0, 6.0)	(31.0, 6.0)	(32.0, 4.0)	(33.0, 2.0)	(34.0, 3.0)	(35.0, 2.0)	(36.0, 1.0)																
FAY99780_pass_barcode08_98e12ebb_5ad7f319_15	(13.0, 2.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 5.0)	(21.0, 6.0)	(22.0, 7.0)	(23.0, 8.0)	(24.0, 10.0)	(25.0, 7.0)	(26.0, 10.0)	(27.0, 15.0)	(28.0, 24.0)	(29.0, 24.0)	(30.0, 23.0)	(31.0, 30.0)	(32.0, 24.0)	(33.0, 18.0)	(34.0, 17.0)	(35.0, 10.0)	(36.0, 2.0)	(37.0, 3.0)										
FAY99780_pass_barcode08_98e12ebb_5ad7f319_150	(14.0, 1.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 6.0)	(20.0, 3.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 6.0)	(24.0, 3.0)	(25.0, 4.0)	(26.0, 7.0)	(27.0, 7.0)	(28.0, 9.0)	(29.0, 10.0)	(30.0, 11.0)	(31.0, 13.0)	(32.0, 7.0)	(33.0, 4.0)	(34.0, 4.0)	(35.0, 1.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_151	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 3.0)	(22.0, 0.0)	(23.0, 5.0)	(24.0, 3.0)	(25.0, 1.0)	(26.0, 7.0)	(27.0, 7.0)	(28.0, 10.0)	(29.0, 4.0)	(30.0, 4.0)	(31.0, 7.0)	(32.0, 8.0)	(33.0, 5.0)	(34.0, 3.0)	(35.0, 2.0)	(36.0, 2.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 1.0)										
FAY99780_pass_barcode08_98e12ebb_5ad7f319_152	(8.0, 2.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 2.0)	(12.0, 4.0)	(13.0, 4.0)	(14.0, 7.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 6.0)	(18.0, 5.0)	(19.0, 5.0)	(20.0, 8.0)	(21.0, 7.0)	(22.0, 8.0)	(23.0, 6.0)	(24.0, 9.0)	(25.0, 7.0)	(26.0, 4.0)	(27.0, 5.0)	(28.0, 14.0)	(29.0, 4.0)	(30.0, 16.0)	(31.0, 6.0)	(32.0, 15.0)	(33.0, 4.0)	(34.0, 3.0)	(35.0, 3.0)	(36.0, 3.0)	(37.0, 1.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 1.0)	
FAY99780_pass_barcode08_98e12ebb_5ad7f319_153	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 1.0)	(27.0, 1.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 1.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 1.0)	(34.0, 1.0)	(35.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_16	(13.0, 1.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 4.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 8.0)	(21.0, 7.0)	(22.0, 8.0)	(23.0, 16.0)	(24.0, 12.0)	(25.0, 10.0)	(26.0, 18.0)	(27.0, 13.0)	(28.0, 13.0)	(29.0, 22.0)	(30.0, 30.0)	(31.0, 35.0)	(32.0, 33.0)	(33.0, 22.0)	(34.0, 16.0)	(35.0, 9.0)	(36.0, 2.0)	(37.0, 2.0)										
FAY99780_pass_barcode08_98e12ebb_5ad7f319_17	(16.0, 2.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 3.0)	(21.0, 2.0)	(22.0, 6.0)	(23.0, 6.0)	(24.0, 4.0)	(25.0, 12.0)	(26.0, 7.0)	(27.0, 17.0)	(28.0, 21.0)	(29.0, 22.0)	(30.0, 36.0)	(31.0, 24.0)	(32.0, 32.0)	(33.0, 28.0)	(34.0, 13.0)	(35.0, 13.0)															
FAY99780_pass_barcode08_98e12ebb_5ad7f319_18	(13.0, 1.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 3.0)	(21.0, 7.0)	(22.0, 6.0)	(23.0, 9.0)	(24.0, 10.0)	(25.0, 11.0)	(26.0, 17.0)	(27.0, 13.0)	(28.0, 17.0)	(29.0, 11.0)	(30.0, 33.0)	(31.0, 29.0)	(32.0, 34.0)	(33.0, 30.0)	(34.0, 9.0)	(35.0, 6.0)	(36.0, 1.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 1.0)							
FAY99780_pass_barcode08_98e12ebb_5ad7f319_19	(11.0, 1.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 6.0)	(21.0, 7.0)	(22.0, 5.0)	(23.0, 14.0)	(24.0, 7.0)	(25.0, 13.0)	(26.0, 13.0)	(27.0, 12.0)	(28.0, 10.0)	(29.0, 22.0)	(30.0, 33.0)	(31.0, 14.0)	(32.0, 32.0)	(33.0, 26.0)	(34.0, 12.0)	(35.0, 3.0)	(36.0, 3.0)	(37.0, 2.0)								
FAY99780_pass_barcode08_98e12ebb_5ad7f319_2	(14.0, 1.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 4.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 6.0)	(21.0, 9.0)	(22.0, 16.0)	(23.0, 11.0)	(24.0, 16.0)	(25.0, 17.0)	(26.0, 19.0)	(27.0, 32.0)	(28.0, 25.0)	(29.0, 49.0)	(30.0, 38.0)	(31.0, 40.0)	(32.0, 36.0)	(33.0, 26.0)	(34.0, 22.0)	(35.0, 11.0)	(36.0, 8.0)	(37.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_20	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 13.0)	(21.0, 10.0)	(22.0, 8.0)	(23.0, 8.0)	(24.0, 9.0)	(25.0, 11.0)	(26.0, 10.0)	(27.0, 12.0)	(28.0, 23.0)	(29.0, 24.0)	(30.0, 26.0)	(31.0, 38.0)	(32.0, 31.0)	(33.0, 25.0)	(34.0, 23.0)	(35.0, 5.0)	(36.0, 3.0)	(37.0, 1.0)									
FAY99780_pass_barcode08_98e12ebb_5ad7f319_21	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 8.0)	(21.0, 5.0)	(22.0, 6.0)	(23.0, 6.0)	(24.0, 11.0)	(25.0, 11.0)	(26.0, 11.0)	(27.0, 14.0)	(28.0, 28.0)	(29.0, 19.0)	(30.0, 26.0)	(31.0, 29.0)	(32.0, 30.0)	(33.0, 21.0)	(34.0, 13.0)	(35.0, 5.0)	(36.0, 2.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_22	(13.0, 3.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 3.0)	(21.0, 4.0)	(22.0, 4.0)	(23.0, 2.0)	(24.0, 6.0)	(25.0, 14.0)	(26.0, 13.0)	(27.0, 14.0)	(28.0, 15.0)	(29.0, 29.0)	(30.0, 29.0)	(31.0, 30.0)	(32.0, 23.0)	(33.0, 27.0)	(34.0, 7.0)	(35.0, 9.0)	(36.0, 4.0)	(37.0, 1.0)	(38.0, 1.0)	(39.0, 2.0)								
FAY99780_pass_barcode08_98e12ebb_5ad7f319_23	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 6.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 4.0)	(21.0, 5.0)	(22.0, 4.0)	(23.0, 5.0)	(24.0, 8.0)	(25.0, 6.0)	(26.0, 8.0)	(27.0, 8.0)	(28.0, 21.0)	(29.0, 20.0)	(30.0, 24.0)	(31.0, 26.0)	(32.0, 34.0)	(33.0, 29.0)	(34.0, 15.0)	(35.0, 4.0)	(36.0, 1.0)	(37.0, 0.0)	(38.0, 1.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 1.0)					
FAY99780_pass_barcode08_98e12ebb_5ad7f319_24	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 4.0)	(21.0, 3.0)	(22.0, 5.0)	(23.0, 9.0)	(24.0, 9.0)	(25.0, 7.0)	(26.0, 9.0)	(27.0, 14.0)	(28.0, 18.0)	(29.0, 26.0)	(30.0, 32.0)	(31.0, 31.0)	(32.0, 23.0)	(33.0, 25.0)	(34.0, 15.0)	(35.0, 5.0)	(36.0, 2.0)	(37.0, 1.0)	(38.0, 0.0)	(39.0, 1.0)								
FAY99780_pass_barcode08_98e12ebb_5ad7f319_25	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 4.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 5.0)	(21.0, 2.0)	(22.0, 6.0)	(23.0, 9.0)	(24.0, 13.0)	(25.0, 9.0)	(26.0, 14.0)	(27.0, 13.0)	(28.0, 17.0)	(29.0, 27.0)	(30.0, 27.0)	(31.0, 25.0)	(32.0, 21.0)	(33.0, 18.0)	(34.0, 8.0)	(35.0, 3.0)	(36.0, 2.0)	(37.0, 0.0)	(38.0, 1.0)						
FAY99780_pass_barcode08_98e12ebb_5ad7f319_26	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 4.0)	(23.0, 11.0)	(24.0, 13.0)	(25.0, 13.0)	(26.0, 7.0)	(27.0, 19.0)	(28.0, 17.0)	(29.0, 26.0)	(30.0, 26.0)	(31.0, 28.0)	(32.0, 26.0)	(33.0, 18.0)	(34.0, 7.0)	(35.0, 7.0)	(36.0, 1.0)	(37.0, 1.0)									
FAY99780_pass_barcode08_98e12ebb_5ad7f319_27	(13.0, 1.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 0.0)	(19.0, 5.0)	(20.0, 4.0)	(21.0, 7.0)	(22.0, 5.0)	(23.0, 5.0)	(24.0, 12.0)	(25.0, 7.0)	(26.0, 16.0)	(27.0, 19.0)	(28.0, 19.0)	(29.0, 21.0)	(30.0, 26.0)	(31.0, 29.0)	(32.0, 28.0)	(33.0, 21.0)	(34.0, 13.0)	(35.0, 3.0)	(36.0, 2.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_28	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 3.0)	(24.0, 7.0)	(25.0, 5.0)	(26.0, 6.0)	(27.0, 11.0)	(28.0, 7.0)	(29.0, 14.0)	(30.0, 19.0)	(31.0, 21.0)	(32.0, 21.0)	(33.0, 18.0)	(34.0, 11.0)	(35.0, 2.0)	(36.0, 0.0)	(37.0, 2.0)	(38.0, 0.0)	(39.0, 1.0)							
FAY99780_pass_barcode08_98e12ebb_5ad7f319_29	(14.0, 2.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 3.0)	(21.0, 9.0)	(22.0, 4.0)	(23.0, 8.0)	(24.0, 9.0)	(25.0, 6.0)	(26.0, 10.0)	(27.0, 16.0)	(28.0, 25.0)	(29.0, 19.0)	(30.0, 19.0)	(31.0, 32.0)	(32.0, 31.0)	(33.0, 18.0)	(34.0, 10.0)	(35.0, 5.0)	(36.0, 2.0)	(37.0, 2.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_3	(14.0, 1.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 4.0)	(18.0, 6.0)	(19.0, 8.0)	(20.0, 14.0)	(21.0, 15.0)	(22.0, 12.0)	(23.0, 10.0)	(24.0, 14.0)	(25.0, 23.0)	(26.0, 18.0)	(27.0, 30.0)	(28.0, 33.0)	(29.0, 19.0)	(30.0, 41.0)	(31.0, 40.0)	(32.0, 41.0)	(33.0, 18.0)	(34.0, 19.0)	(35.0, 6.0)	(36.0, 3.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_30	(13.0, 1.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 4.0)	(20.0, 2.0)	(21.0, 10.0)	(22.0, 6.0)	(23.0, 5.0)	(24.0, 8.0)	(25.0, 7.0)	(26.0, 6.0)	(27.0, 15.0)	(28.0, 12.0)	(29.0, 18.0)	(30.0, 30.0)	(31.0, 44.0)	(32.0, 37.0)	(33.0, 26.0)	(34.0, 8.0)	(35.0, 5.0)	(36.0, 1.0)	(37.0, 1.0)	(38.0, 1.0)	(39.0, 1.0)								
FAY99780_pass_barcode08_98e12ebb_5ad7f319_31	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 0.0)	(20.0, 3.0)	(21.0, 3.0)	(22.0, 4.0)	(23.0, 4.0)	(24.0, 7.0)	(25.0, 8.0)	(26.0, 12.0)	(27.0, 13.0)	(28.0, 22.0)	(29.0, 28.0)	(30.0, 26.0)	(31.0, 28.0)	(32.0, 32.0)	(33.0, 23.0)	(34.0, 13.0)	(35.0, 10.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 1.0)						
FAY99780_pass_barcode08_98e12ebb_5ad7f319_32	(14.0, 4.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 3.0)	(22.0, 7.0)	(23.0, 8.0)	(24.0, 12.0)	(25.0, 5.0)	(26.0, 10.0)	(27.0, 9.0)	(28.0, 23.0)	(29.0, 26.0)	(30.0, 22.0)	(31.0, 30.0)	(32.0, 32.0)	(33.0, 17.0)	(34.0, 11.0)	(35.0, 1.0)	(36.0, 0.0)	(37.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_33	(15.0, 2.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 1.0)	(20.0, 5.0)	(21.0, 7.0)	(22.0, 5.0)	(23.0, 9.0)	(24.0, 5.0)	(25.0, 12.0)	(26.0, 8.0)	(27.0, 10.0)	(28.0, 11.0)	(29.0, 20.0)	(30.0, 22.0)	(31.0, 21.0)	(32.0, 31.0)	(33.0, 21.0)	(34.0, 9.0)	(35.0, 1.0)	(36.0, 1.0)	(37.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_34	(15.0, 2.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 3.0)	(20.0, 7.0)	(21.0, 6.0)	(22.0, 2.0)	(23.0, 6.0)	(24.0, 10.0)	(25.0, 12.0)	(26.0, 15.0)	(27.0, 21.0)	(28.0, 21.0)	(29.0, 16.0)	(30.0, 24.0)	(31.0, 23.0)	(32.0, 19.0)	(33.0, 24.0)	(34.0, 13.0)	(35.0, 3.0)	(36.0, 1.0)	(37.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_35	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 6.0)	(22.0, 13.0)	(23.0, 7.0)	(24.0, 5.0)	(25.0, 9.0)	(26.0, 7.0)	(27.0, 16.0)	(28.0, 17.0)	(29.0, 14.0)	(30.0, 23.0)	(31.0, 21.0)	(32.0, 22.0)	(33.0, 14.0)	(34.0, 9.0)	(35.0, 5.0)	(36.0, 3.0)	(37.0, 1.0)	(38.0, 3.0)										
FAY99780_pass_barcode08_98e12ebb_5ad7f319_36	(15.0, 1.0)	(16.0, 3.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 7.0)	(22.0, 6.0)	(23.0, 5.0)	(24.0, 5.0)	(25.0, 9.0)	(26.0, 14.0)	(27.0, 14.0)	(28.0, 18.0)	(29.0, 24.0)	(30.0, 18.0)	(31.0, 21.0)	(32.0, 22.0)	(33.0, 16.0)	(34.0, 15.0)	(35.0, 6.0)	(36.0, 3.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_37	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 3.0)	(21.0, 4.0)	(22.0, 8.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 10.0)	(26.0, 5.0)	(27.0, 9.0)	(28.0, 23.0)	(29.0, 19.0)	(30.0, 17.0)	(31.0, 20.0)	(32.0, 22.0)	(33.0, 8.0)	(34.0, 7.0)	(35.0, 3.0)	(36.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_38	(15.0, 1.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 4.0)	(21.0, 2.0)	(22.0, 6.0)	(23.0, 3.0)	(24.0, 8.0)	(25.0, 5.0)	(26.0, 11.0)	(27.0, 12.0)	(28.0, 19.0)	(29.0, 19.0)	(30.0, 20.0)	(31.0, 16.0)	(32.0, 20.0)	(33.0, 14.0)	(34.0, 6.0)	(35.0, 2.0)	(36.0, 3.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_39	(15.0, 1.0)	(16.0, 3.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 4.0)	(20.0, 3.0)	(21.0, 3.0)	(22.0, 3.0)	(23.0, 8.0)	(24.0, 4.0)	(25.0, 5.0)	(26.0, 7.0)	(27.0, 14.0)	(28.0, 16.0)	(29.0, 25.0)	(30.0, 22.0)	(31.0, 24.0)	(32.0, 23.0)	(33.0, 14.0)	(34.0, 8.0)	(35.0, 3.0)	(36.0, 1.0)	(37.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_4	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 5.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 2.0)	(20.0, 9.0)	(21.0, 10.0)	(22.0, 11.0)	(23.0, 8.0)	(24.0, 13.0)	(25.0, 8.0)	(26.0, 13.0)	(27.0, 23.0)	(28.0, 33.0)	(29.0, 35.0)	(30.0, 29.0)	(31.0, 46.0)	(32.0, 36.0)	(33.0, 20.0)	(34.0, 15.0)	(35.0, 8.0)	(36.0, 4.0)	(37.0, 2.0)	(38.0, 2.0)	(39.0, 1.0)				
FAY99780_pass_barcode08_98e12ebb_5ad7f319_40	(14.0, 1.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 6.0)	(21.0, 5.0)	(22.0, 3.0)	(23.0, 4.0)	(24.0, 4.0)	(25.0, 11.0)	(26.0, 12.0)	(27.0, 21.0)	(28.0, 14.0)	(29.0, 20.0)	(30.0, 24.0)	(31.0, 24.0)	(32.0, 21.0)	(33.0, 11.0)	(34.0, 9.0)	(35.0, 5.0)	(36.0, 1.0)	(37.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_41	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 7.0)	(23.0, 5.0)	(24.0, 8.0)	(25.0, 4.0)	(26.0, 3.0)	(27.0, 17.0)	(28.0, 13.0)	(29.0, 20.0)	(30.0, 33.0)	(31.0, 27.0)	(32.0, 31.0)	(33.0, 19.0)	(34.0, 8.0)	(35.0, 2.0)	(36.0, 1.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 1.0)									
