Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
FAY99780_pass_barcode08_98e12ebb_5ad7f319_107	(16.0, 1.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 4.0)	(22.0, 2.0)	(23.0, 7.0)	(24.0, 5.0)	(25.0, 12.0)	(26.0, 10.0)	(27.0, 11.0)	(28.0, 12.0)	(29.0, 13.0)	(30.0, 14.0)	(31.0, 14.0)	(32.0, 17.0)	(33.0, 12.0)	(34.0, 5.0)	(35.0, 1.0)															
FAY99780_pass_barcode08_98e12ebb_5ad7f319_108	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 3.0)	(25.0, 7.0)	(26.0, 6.0)	(27.0, 10.0)	(28.0, 5.0)	(29.0, 5.0)	(30.0, 18.0)	(31.0, 8.0)	(32.0, 8.0)	(33.0, 9.0)	(34.0, 4.0)	(35.0, 1.0)	(36.0, 0.0)	(37.0, 1.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 1.0)	
FAY99780_pass_barcode08_98e12ebb_5ad7f319_109	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 3.0)	(20.0, 2.0)	(21.0, 7.0)	(22.0, 4.0)	(23.0, 4.0)	(24.0, 6.0)	(25.0, 5.0)	(26.0, 2.0)	(27.0, 6.0)	(28.0, 16.0)	(29.0, 15.0)	(30.0, 17.0)	(31.0, 6.0)	(32.0, 17.0)	(33.0, 8.0)	(34.0, 7.0)	(35.0, 1.0)	(36.0, 1.0)	(37.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_11	(13.0, 1.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 1.0)	(20.0, 4.0)	(21.0, 6.0)	(22.0, 5.0)	(23.0, 8.0)	(24.0, 14.0)	(25.0, 7.0)	(26.0, 10.0)	(27.0, 17.0)	(28.0, 25.0)	(29.0, 20.0)	(30.0, 36.0)	(31.0, 24.0)	(32.0, 44.0)	(33.0, 23.0)	(34.0, 19.0)	(35.0, 8.0)	(36.0, 6.0)	(37.0, 0.0)	(38.0, 1.0)									
FAY99780_pass_barcode08_98e12ebb_5ad7f319_110	(18.0, 1.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 6.0)	(23.0, 5.0)	(24.0, 5.0)	(25.0, 9.0)	(26.0, 3.0)	(27.0, 4.0)	(28.0, 5.0)	(29.0, 14.0)	(30.0, 9.0)	(31.0, 11.0)	(32.0, 8.0)	(33.0, 3.0)	(34.0, 5.0)	(35.0, 3.0)	(36.0, 1.0)																
FAY99780_pass_barcode08_98e12ebb_5ad7f319_111	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 2.0)	(23.0, 4.0)	(24.0, 7.0)	(25.0, 3.0)	(26.0, 8.0)	(27.0, 11.0)	(28.0, 17.0)	(29.0, 13.0)	(30.0, 11.0)	(31.0, 15.0)	(32.0, 9.0)	(33.0, 7.0)	(34.0, 3.0)	(35.0, 0.0)	(36.0, 3.0)													
FAY99780_pass_barcode08_98e12ebb_5ad7f319_112	(15.0, 1.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 0.0)	(19.0, 5.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 7.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 4.0)	(26.0, 8.0)	(27.0, 10.0)	(28.0, 11.0)	(29.0, 14.0)	(30.0, 10.0)	(31.0, 17.0)	(32.0, 10.0)	(33.0, 10.0)	(34.0, 7.0)	(35.0, 2.0)	(36.0, 1.0)	(37.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_113	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 2.0)	(24.0, 2.0)	(25.0, 4.0)	(26.0, 4.0)	(27.0, 4.0)	(28.0, 5.0)	(29.0, 7.0)	(30.0, 6.0)	(31.0, 5.0)	(32.0, 2.0)	(33.0, 8.0)	(34.0, 3.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_114	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 3.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 3.0)	(24.0, 4.0)	(25.0, 4.0)	(26.0, 6.0)	(27.0, 4.0)	(28.0, 8.0)	(29.0, 12.0)	(30.0, 11.0)	(31.0, 12.0)	(32.0, 6.0)	(33.0, 9.0)	(34.0, 6.0)	(35.0, 4.0)	(36.0, 1.0)	(37.0, 1.0)										
FAY99780_pass_barcode08_98e12ebb_5ad7f319_115	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 6.0)	(21.0, 4.0)	(22.0, 3.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 10.0)	(26.0, 10.0)	(27.0, 10.0)	(28.0, 14.0)	(29.0, 9.0)	(30.0, 8.0)	(31.0, 21.0)	(32.0, 15.0)	(33.0, 10.0)	(34.0, 7.0)	(35.0, 5.0)	(36.0, 1.0)	(37.0, 1.0)	(38.0, 1.0)						
