.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
FAY99780_pass_barcode01_98e12ebb_5ad7f319_14	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_140	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_141	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_142	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_143	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_144	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_145	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_146	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_147	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_148	1	1	1	0.25	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_149	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_15	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_150	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_151	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_152	1	1	0.5	0.25	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_153	1	1	0.5	0.25	0.25	1	0.5	1	0.25	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_154	1	1	0.25	0.25	0.25	1	0.5	1	0.25	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_16	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_17	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_18	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_19	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_2	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_20	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_21	1	1	1	0.25	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_22	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_23	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_24	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_25	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_26	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_27	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_28	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_29	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_3	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_30	1	1	1	0.25	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_31	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_32	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_33	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_34	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_35	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_36	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_37	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_38	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_39	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_4	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_40	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_41	1	1	1	0.25	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_42	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_43	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_44	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_45	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_46	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_47	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_48	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_49	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_5	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_50	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_51	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_52	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_53	1	1	1	0.25	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_54	1	1	1	1	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_55	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_56	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_57	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_58	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_59	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_6	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_60	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_61	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_62	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_63	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_64	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_65	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_66	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_67	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_68	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_69	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_7	1	1	1	0.5	0.5	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_70	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_71	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_72	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_73	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_74	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_75	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_76	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_77	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_78	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_79	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_8	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_80	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_81	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_82	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_83	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_84	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_85	1	1	1	1	0.25	1	0.5	1	0.5	1
